name,director,company,genre,year,gross
Dying Young,Joel Schumacher,Fogwood Films,Drama,1991,33669178
Marmaduke,Tom Dey,Twentieth Century Fox Film Corporation,Comedy,2010,33644788
The Gambler,Rupert Wyatt,Paramount Pictures,Crime,2014,33631221
R.I.P.D.,Robert Schwentke,Universal Pictures,Action,2013,33618855
Muppet Treasure Island,Brian Henson,Jim Henson Company  The,Action,1996,33609000
Flags of our Fathers,Clint Eastwood,DreamWorks,Drama,2006,33602376
Devil,John Erick Dowdle,Universal Pictures,Horror,2010,33583175
The Constant Gardener,Fernando Meirelles,Focus Features,Drama,2005,33579797
Pay It Forward,Mimi Leder,Warner Bros.,Drama,2000,33519628
Semi-Pro,Kent Alterman,New Line Cinema,Comedy,2008,33472850
Fireproof,Alex Kendrick,Samuel Goldwyn Films,Drama,2008,33456317
Street Fighter,Steven E. de Souza,Capcom Entertainment,Action,1994,33423521
Black Knight,Gil Junger,Twentieth Century Fox Film Corporation,Adventure,2001,33422806
Doubt,John Patrick Shanley,Goodspeed Productions,Drama,2008,33422556
Blue Jasmine,Woody Allen,Gravier Productions,Drama,2013,33405481
Halloween II,Rob Zombie,Dimension Films,Horror,2009,33392973
Monster Trucks,Chris Wedge,Disruption Entertainment,Action,2016,33370166
See Spot Run,John Whitesell,Warner Bros.,Action,2001,33357476
The Long Kiss Goodnight,Renny Harlin,Forge,Action,1996,33328051
The Informant!,Steven Soderbergh,Warner Bros.,Comedy,2009,33313582
Woman in Gold,Simon Curtis,Origin Pictures,Biography,2015,33305037
Mr. Bean's Holiday,Steve Bendelack,Universal Pictures,Comedy,2007,33302167
Child's Play,Tom Holland,United Artists,Horror,1988,33244684
Grand Canyon,Lawrence Kasdan,Twentieth Century Fox Film Corporation,Crime,1991,33243020
Breach,Billy Ray,Universal Pictures,Biography,2007,33231264
Amélie,Jean-Pierre Jeunet,Claudie Ossard Productions,Comedy,2001,33225499
Forget Paris,Billy Crystal,Castle Rock Entertainment,Comedy,1995,33194500
Striptease,Andrew Bergman,Castle Rock Entertainment,Comedy,1996,33109743
I Spy,Betty Thomas,Columbia Pictures Corporation,Action,2002,33105600
Matilda,Danny DeVito,TriStar Pictures,Comedy,1996,33084249
Zodiac,David Fincher,Paramount Pictures,Crime,2007,33080084
The Second Best Exotic Marigold Hotel,John Madden,Babieka,Comedy,2015,33078266
The Rite,Mikael Håfström,New Line Cinema,Drama,2011,33047633
Arthur,Jason Winer,Warner Bros.,Comedy,2011,33035397
Daylight,Rob Cohen,Davis Entertainment,Action,1996,33023469
Dracula 2000,Patrick Lussier,Dimension Films,Action,2000,33022767
Friday After Next,Marcus Raboy,Avery Pix,Comedy,2002,32983713
*batteries not included,Matthew Robbins,Universal Pictures,Comedy,1987,32945797
Mercury Rising,Harold Becker,Universal Pictures,Action,1998,32940507
In Her Shoes,Curtis Hanson,Fox 2000 Pictures,Comedy,2005,32880591
Bad News Bears,Richard Linklater,Paramount Pictures,Comedy,2005,32868349
The Joy Luck Club,Wayne Wang,Hollywood Pictures,Drama,1993,32861136
Drillbit Taylor,Steven Brill,Paramount Pictures,Comedy,2008,32853640
Balls of Fury,Robert Ben Garant,Rogue Pictures,Comedy,2007,32844290
Team America: World Police,Trey Parker,Paramount Pictures,Action,2004,32774834
Hereafter,Clint Eastwood,Warner Bros.,Drama,2010,32746941
The Last House on the Left,Dennis Iliadis,Rogue Pictures,Crime,2009,32721635
Dreamer: Inspired by a True Story,John Gatins,DreamWorks,Drama,2005,32701088
Tommy Boy,Peter Segal,Broadway Pictures,Adventure,1995,32700000
The 13th Warrior,John McTiernan,Touchstone Pictures,Action,1999,32698899
Taking Lives,D.J. Caruso,Warner Bros.,Crime,2004,32682342
When in Rome,Mark Steven Johnson,Touchstone Pictures,Comedy,2010,32669555
Return to Me,Bonnie Hunt,Metro-Goldwyn-Mayer (MGM),Comedy,2000,32662299
Because of Winn-Dixie,Wayne Wang,Twentieth Century Fox Film Corporation,Comedy,2005,32645546
The Accidental Tourist,Lawrence Kasdan,Warner Bros.,Drama,1988,32632093
Just Friends,Roger Kumble,Inferno Distribution,Comedy,2005,32619671
Driven,Renny Harlin,Franchise Pictures,Action,2001,32616869
Proof of Life,Taylor Hackford,Castle Rock Entertainment,Action,2000,32598931
Hard Target,John Woo,Universal Pictures,Action,1993,32589677
The Pianist,Roman Polanski,R.P. Productions,Biography,2002,32572577
Darkness Falls,Jonathan Liebesman,Revolution Studios,Horror,2003,32551396
Bend It Like Beckham,Gurinder Chadha,Kintop Pictures,Comedy,2002,32543449
Almost Famous,Cameron Crowe,Columbia Pictures,Adventure,2000,32534850
Jungle Fever,Spike Lee,Universal Pictures,Drama,1991,32482682
October Sky,Joe Johnston,Universal Pictures,Biography,1999,32481825
Mother's Day,Garry Marshall,Open Road Films (II),Comedy,2016,32463917
The Sandlot,David Mickey Evans,Twentieth Century Fox Film Corporation,Comedy,1993,32416586
The Men Who Stare at Goats,Grant Heslov,BBC Films,Comedy,2009,32416109
Rumble in the Bronx,Stanley Tong,Golden Harvest Company,Action,1995,32392047
500 Days of Summer,Marc Webb,Fox Searchlight Pictures,Comedy,2009,32391374
Bride of Chucky,Ronny Yu,Midwinter Productions Inc.,Comedy,1998,32383850
Nightcrawler,Dan Gilroy,Bold Films,Crime,2014,32381218
Black Sheep,Penelope Spheeris,Broadway Pictures,Comedy,1996,32377000
Love & Other Drugs,Edward Zwick,Fox 2000 Pictures,Comedy,2010,32367005
Entourage,Doug Ellin,Warner Bros.,Comedy,2015,32361416
Nothing in Common,Garry Marshall,Delphi Films,Comedy,1986,32324557
Anacondas: The Hunt for the Blood Orchid,Dwight H. Little,Screen Gems,Action,2004,32238923
The Love Guru,Marco Schnabel,Paramount Pictures,Comedy,2008,32235793
The Lost Boys,Joel Schumacher,Warner Bros.,Comedy,1987,32222567
The Age of Innocence,Martin Scorsese,Columbia Pictures Corporation,Drama,1993,32200000
Side Effects,Steven Soderbergh,Endgame Entertainment,Crime,2013,32172757
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,Chris Lee Productions,Animation,2001,32131830
Analyze That,Harold Ramis,Warner Bros.,Comedy,2002,32122249
Stealth,Rob Cohen,Columbia Pictures Corporation,Action,2005,32116746
The Lawnmower Man,Brett Leonard,Allied Vision,Horror,1992,32101000
What's the Worst That Could Happen?,Sam Weisman,Metro-Goldwyn-Mayer (MGM),Comedy,2001,32095318
Acusados,Jonathan Kaplan,Paramount Pictures,Drama,1988,32069318
La casa de cera,Jaume Collet-Serra,Warner Bros.,Horror,2005,32064800
Mr. Magorium's Wonder Emporium,Zach Helm,Mandate Pictures,Comedy,2007,32061555
The Shadow,Russell Mulcahy,Universal Pictures,Action,1994,32055248
Copycat,Jon Amiel,Regency Enterprises,Drama,1995,32051917
Scary Movie 5,Malcolm D. Lee,Dimension Films,Comedy,2013,32015787
Cellular,David R. Ellis,New Line Cinema,Action,2004,32003620
Paper Towns,Jake Schreier,Fox 2000 Pictures,Drama,2015,32000304
Metro,Thomas Carter,Touchstone Pictures,Action,1997,31987563
Definitely  Maybe,Adam Brooks,Universal Pictures,Comedy,2008,31973840
Adiós a Las Vegas,Mike Figgis,Lumiere Pictures,Drama,1995,31968347
Lean on Me,John G. Avildsen,Norman Twain Productions,Drama,1989,31906454
Cop & ½,Henry Winkler,Imagine Films Entertainment,Comedy,1993,31888805
Día del atentado,Peter Berg,Bluegrass Films,Crime,2016,31886361
Murder by Numbers,Barbet Schroeder,Warner Bros.,Crime,2002,31874869
Children of a Lesser God,Randa Haines,Paramount Pictures,Drama,1986,31853080
Extremely Loud & Incredibly Close,Stephen Daldry,Warner Bros.,Adventure,2011,31847881
Milk,Gus Van Sant,Focus Features,Biography,2008,31841299
Push,Paul McGuigan,Summit Entertainment,Action,2009,31806100
Lake Placid,Steve Miner,Fox 2000 Pictures,Action,1999,31770414
The Bear,Jean-Jacques Annaud,Price,Adventure,1988,31753898
9,Shane Acker,Focus Features,Animation,2009,31743332
The Wedding Date,Clare Kilner,Gold Circle Films,Comedy,2005,31726995
El transportador 3,Olivier Megaton,EuropaCorp,Action,2008,31715062
Quarantine,John Erick Dowdle,Screen Gems,Horror,2008,31691811
The Soloist,Joe Wright,DreamWorks,Biography,2009,31670931
August Rush,Kirsten Sheridan,Warner Bros.,Drama,2007,31655091
Can't Buy Me Love,Steve Rash,Apollo Pictures,Comedy,1987,31623833
House at the End of the Street,Mark Tonderai,Relativity Media,Drama,2012,31611916
For Richer or Poorer,Bryan Spicer,Universal Pictures,Comedy,1997,31611225
From Hell,Albert Hughes,Twentieth Century Fox Film Corporation,Horror,2001,31602566
Rob Roy,Michael Caton-Jones,United Artists,Adventure,1995,31600000
One Hour Photo,Mark Romanek,Fox Searchlight Pictures,Drama,2002,31597131
She's Out of My League,Jim Field Smith,DreamWorks,Comedy,2010,31584722
Chappie,Neill Blomkamp,Columbia Pictures,Action,2015,31569268
United 93,Paul Greengrass,Universal Pictures,Drama,2006,31567134
Unfriended,Levan Gabriadze,Bazelevs Production,Drama,2014,31537320
Good Night  and Good Luck.,George Clooney,Warner Independent Pictures (WIP),Biography,2005,31501218
Scott Pilgrim vs. the World,Edgar Wright,Universal Pictures,Action,2010,31494270
A History of Violence,David Cronenberg,New Line Cinema,Crime,2005,31493782
Nick and Norah's Infinite Playlist,Peter Sollett,Screen Gems,Comedy,2008,31487293
Zack and Miri Make a Porno,Kevin Smith,Blue Askew,Comedy,2008,31457946
The Eye,David Moreau,Lionsgate,Horror,2008,31418697
Eddie,Steve Rash,Permut Presentations,Comedy,1996,31356117
Daddy's Little Girls,Tyler Perry,Lions Gate Films,Drama,2007,31339647
Monster's Ball,Marc Forster,Lee Daniels Entertainment,Drama,2001,31252964
Beverly Hills Ninja,Dennis Dugan,Beverly Hills Ninja Productions,Action,1997,31235710
Leatherheads,George Clooney,Universal Pictures,Comedy,2008,31199215
The Core,Jon Amiel,Paramount Pictures,Action,2003,31186896
The Secret Garden,Agnieszka Holland,Warner Bros.,Drama,1993,31181347
Johnson Family Vacation,Christopher Erskin,Fox Searchlight Pictures,Comedy,2004,31179516
The Debt,John Madden,Miramax,Drama,2010,31177548
The Mortal Instruments: City of Bones,Harald Zwart,Constantin Film,Action,2013,31165421
Charlie St. Cloud,Burr Steers,Universal Pictures,Drama,2010,31162545
A Perfect World,Clint Eastwood,Warner Bros.,Crime,1993,31160784
How High,Jesse Dylan,Jersey Films,Comedy,2001,31155435
Gods of Egypt,Alex Proyas,Pyramania,Action,2016,31153464
Picture Perfect,Glenn Gordon Caron,3 Arts Entertainment,Comedy,1997,31058643
Crimson Peak,Guillermo del Toro,Double Dare You (DDY),Drama,2015,31056945
Random Hearts,Sydney Pollack,Columbia Pictures Corporation,Drama,1999,31054924
Air America,Roger Spottiswoode,Carolco Pictures,Action,1990,31053601
The Pirates! Band of Misfits,Peter Lord,Columbia Pictures,Animation,2012,31051126
Calendar Girls,Nigel Cole,Touchstone Pictures,Comedy,2003,31041759
Morning Glory,Roger Michell,Bad Robot,Comedy,2010,31011732
Collateral Beauty,David Frankel,New Line Cinema,Drama,2016,30982955
Get Rich or Die Tryin',Jim Sheridan,Cent Productions Inc.,Biography,2005,30981850
Nuts,Martin Ritt,Warner Bros.,Drama,1987,30950002
Joyful Noise,Todd Graff,Alcon Entertainment,Comedy,2012,30920167
Home Alone 3,Raja Gosnell,Twentieth Century Fox Film Corporation,Comedy,1997,30882515
Powder,Victor Salva,Caravan Pictures,Drama,1995,30862146
The Princess Bride,Rob Reiner,Act III Communications,Adventure,1987,30857814
I Love Trouble,Charles Shyer,Caravan Pictures,Action,1994,30806194
3 Days to Kill,McG,EuropaCorp,Action,2014,30697999
The Legend of Bagger Vance,Robert Redford,Twentieth Century Fox Film Corporation,Drama,2000,30695227
Mirrors,Alexandre Aja,Regency Enterprises,Horror,2008,30691439
Predator 2,Stephen Hopkins,Davis Entertainment,Action,1990,30669413
Delivery Man,Ken Scott,Touchstone Pictures,Comedy,2013,30664106
Dogma,Kevin Smith,View Askew Productions,Adventure,1999,30651422
Chef,Jon Favreau,Aldamisa Entertainment,Comedy,2014,30640336
Superstar,Bruce McCulloch,Broadway Pictures,Comedy,1999,30628981
Major League II,David S. Ward,Warner Bros.,Comedy,1994,30626182
Open Water,Chris Kentis,Plunge Pictures LLC,Adventure,2003,30610863
Blank Check,Rupert Wainwright,Walt Disney Pictures,Comedy,1994,30577969
Deliver Us from Evil,Scott Derrickson,Screen Gems,Horror,2014,30577122
The Sitter,David Gordon Green,Twentieth Century Fox Film Corporation,Comedy,2011,30538669
Sleepwalkers,Mick Garris,Columbia Pictures Corporation,Horror,1992,30524763
Sgt. Bilko,Jonathan Lynn,Imagine Entertainment,Comedy,1996,30356793
Halloween: Resurrection,Rick Rosenthal,Dimension Films,Comedy,2002,30354442
Underworld: Blood Wars,Anna Foerster,Lakeshore Entertainment,Action,2016,30348260
Queen of the Damned,Michael Rymer,Warner Bros.,Drama,2002,30336800
Snatch,Guy Ritchie,Columbia Pictures Corporation,Comedy,2000,30328156
A Night at the Roxbury,John Fortenberry,Broadway Pictures,Comedy,1998,30324946
The Banger Sisters,Bob Dolman,Fox Searchlight Pictures,Comedy,2002,30307416
Assassins,Richard Donner,Warner Bros.,Action,1995,30306268
The Fighting Temptations,Jonathan Lynn,Paramount Pictures,Comedy,2003,30238577
The Great Debaters,Denzel Washington,Harpo Films,Biography,2007,30226144
Honey,Bille Woodruff,Universal Pictures,Drama,2003,30222640
Weekend at Bernie's,Ted Kotcheff,Gladden Entertainment,Adventure,1989,30218387
How Do You Know,James L. Brooks,Columbia Pictures,Comedy,2010,30212620
The Art of War,Christian Duguay,Morgan Creek Productions,Action,2000,30208599
Riding in Cars with Boys,Penny Marshall,Columbia Pictures,Biography,2001,30165536
Bad Company,Joel Schumacher,Touchstone Pictures,Action,2002,30160161
Blown Away,Stephen Hopkins,Metro-Goldwyn-Mayer (MGM),Action,1994,30155037
When the Game Stands Tall,Thomas Carter,Affirm Films,Drama,2014,30127963
Ghost Ship,Steve Beck,Warner Bros.,Horror,2002,30113491
Double Impact,Sheldon Lettich,Stone Group Pictures,Action,1991,30102717
La hermandad,Michael Spierig,Lionsgate,Action,2009,30101577
Elizabeth,Shekhar Kapur,PolyGram Filmed Entertainment,Biography,1998,30082699
Hail  Caesar!,Ethan Coen,Working Title Films,Comedy,2016,30080225
Free Willy 2: The Adventure Home,Dwight H. Little,Alcor Films,Adventure,1995,30077111
Dragonfly,Tom Shadyac,Universal Pictures,Drama,2002,30063805
Revenge of the Nerds II: Nerds in Paradise,Joe Roth,Twentieth Century Fox Film Corporation,Comedy,1987,30063289
Jay and Silent Bob Strike Back,Kevin Smith,Dimension Films,Comedy,2001,30059386
Road House,Rowdy Herrington,Silver Pictures,Action,1989,30050028
Point of No Return,John Badham,Warner Bros.,Action,1993,30038362
The Bank Job,Roger Donaldson,Mosaic Media Group,Crime,2008,30028592
The Iron Lady,Phyllida Lloyd,Pathé,Biography,2011,30017992
Hollywood Homicide,Ron Shelton,Revolution Studios,Action,2003,30013346
Green Card,Peter Weir,Touchstone Pictures,Comedy,1990,29888235
Grudge Match,Peter Segal,Callahan Filmworks,Comedy,2013,29807260
Madeline,Daisy von Scherler Mayer,Jaffilms,Comedy,1998,29767901
Harry and the Hendersons,William Dear,Amblin Entertainment,Comedy,1987,29760613
Wild Things,John McNaughton,Mandalay Entertainment,Crime,1998,29753944
Mystery Men,Kinka Usher,Universal Pictures,Action,1999,29655590
Did You Hear About the Morgans?,Marc Lawrence,Columbia Pictures,Comedy,2009,29580087
The Fog,Rupert Wainwright,Revolution Studios,Horror,2005,29511112
A Walk in the Woods,Ken Kwapis,Route One Entertainment,Adventure,2015,29467855
Major Payne,Nick Castle,Universal Pictures,Adventure,1995,29412050
A Low Down Dirty Shame,Keenen Ivory Wayans,Caravan Pictures,Action,1994,29392418
Pacific Heights,John Schlesinger,Morgan Creek Productions,Thriller,1990,29381956
Bless the Child,Chuck Russell,Paramount Pictures,Crime,2000,29374178
Spice World,Bob Spiers,Columbia Pictures Corporation,Comedy,1997,29342592
Confessions of a Teenage Drama Queen,Sara Sugarman,Walt Disney Pictures,Comedy,2004,29331068
Shoot to Kill,Roger Spottiswoode,Touchstone Pictures,Action,1988,29300090
Fools Rush In,Andy Tennant,Columbia Pictures Corporation,Comedy,1997,29291566
Zathura: A Space Adventure,Jon Favreau,Columbia Pictures Corporation,Action,2005,29258869
Romy and Michele's High School Reunion,David Mirkin,Touchstone Pictures,Comedy,1997,29205077
Nanny McPhee Returns,Susanna White,Universal Pictures,Comedy,2010,29197642
Priest,Scott Stewart,Screen Gems,Action,2011,29136626
The Mechanic,Simon West,CBS Films,Action,2011,29121498
The Object of My Affection,Nicholas Hytner,Twentieth Century Fox Film Corporation,Comedy,1998,29106737
Rent,Chris Columbus,Rent Productions LLC,Drama,2005,29077547
The Stepfather,Nelson McCormick,Screen Gems,Crime,2009,29062561
3 Ninjas,Jon Turteltaub,Touchstone Pictures,Action,1992,29000301
The New Guy,Ed Decter,Revolution Studios,Comedy,2002,28972187
The Insider,Michael Mann,Touchstone Pictures,Biography,1999,28965197
James and the Giant Peach,Henry Selick,Walt Disney Pictures,Animation,1996,28934758
The Watcher,Joe Charbanic,Lewitt / Eberts Prouctions,Crime,2000,28927720
The Dream Team,Howard Zieff,Universal Pictures,Comedy,1989,28890240
Girl  Interrupted,James Mangold,Columbia Pictures Corporation,Biography,1999,28871190
In the Army Now,Daniel Petrie Jr.,Hollywood Pictures,Comedy,1994,28864707
L.A. Story,Mick Jackson,Carolco Pictures,Comedy,1991,28862081
Zoolander 2,Ben Stiller,Panorama Films,Comedy,2016,28848693
The Five-Year Engagement,Nicholas Stoller,Universal Pictures,Comedy,2012,28835528
Draft Day,Ivan Reitman,Summit Entertainment,Drama,2014,28831145
Kick-Ass 2,Jeff Wadlow,Universal Pictures,Action,2013,28795985
Punto de quiebre,Ericson Core,Alcon Entertainment,Action,2015,28782481
Capote,Bennett Miller,Sony Pictures Classics,Biography,2005,28747570
Deceived,Damian Harris,Touchstone Pictures,Thriller,1991,28738096
Baby Boy,John Singleton,Columbia Pictures,Crime,2001,28734552
Drop Zone,John Badham,Paramount Pictures,Action,1994,28720380
Untraceable,Gregory Hoblit,Screen Gems,Crime,2008,28687835
Fathers' Day,Ivan Reitman,Northern Lights Entertainment,Comedy,1997,28659604
Defiance,Edward Zwick,Paramount Vantage,Action,2008,28644813
28 Weeks Later,Juan Carlos Fresnadillo,Fox Atomic,Drama,2007,28638916
Hoosiers,David Anspaugh,De Haven Productions,Drama,1986,28607524
Final Analysis,Phil Joanou,Warner Bros.,Drama,1992,28590665
The Uninvited,Charles Guard,DreamWorks,Drama,2009,28573173
Swimfan,John Polson,Twentieth Century Fox Film Corporation,Drama,2002,28563926
We Own the Night,James Gray,Columbia Pictures,Crime,2007,28563179
The Out-of-Towners,Sam Weisman,Cherry Alley Productions,Comedy,1999,28535768
Brothers,Jim Sheridan,Lionsgate,Drama,2009,28501651
Child's Play 2,John Lafia,Universal Pictures,Horror,1990,28501605
Mr. Brooks,Bruce A. Evans,Metro-Goldwyn-Mayer (MGM),Crime,2007,28476219
Employee of the Month,Greg Coolidge,Lionsgate,Comedy,2006,28435406
Garfield 2,Tim Hill,Twentieth Century Fox Film Corporation,Animation,2006,28426747
Stop! Or My Mom Will Shoot,Roger Spottiswoode,Northern Lights Entertainment,Action,1992,28411210
The Shawshank Redemption,Frank Darabont,Castle Rock Entertainment,Crime,1994,28341469
After the Sunset,Brett Ratner,New Line Cinema,Action,2004,28328132
Ernest Saves Christmas,John R. Cherry III,Touchstone Pictures,Comedy,1988,28202109
The Prince and Me,Martha Coolidge,Lions Gate Films,Comedy,2004,28165882
The Ant Bully,John A. Davis,Warner Bros.,Animation,2006,28142535
Abduction,John Singleton,Lionsgate,Action,2011,28087155
Johnny English,Peter Howitt,Universal Pictures,Action,2003,28082366
Police Academy 4: Citizens on Patrol,Jim Drake,Warner Bros.,Comedy,1987,28061343
Doom,Andrzej Bartkowiak,John Wells Productions,Action,2005,28031250
Grosse Pointe Blank,George Armitage,Hollywood Pictures,Action,1997,28014536
Loaded Weapon 1,Gene Quintano,New Line Cinema,Action,1993,27979400
Out to Sea,Martha Coolidge,Twentieth Century Fox Film Corporation,Comedy,1997,27974168
The Rescuers Down Under,Hendel Butoy,Silver Screen Partners IV,Animation,1990,27931461
Menace II Society,Albert Hughes,New Line Cinema,Crime,1993,27900000
Beastly,Daniel Barnz,CBS Films,Drama,2011,27865571
Moonlight,Barry Jenkins,A24,Drama,2016,27850912
Crank,Mark Neveldine,Lakeshore Entertainment,Action,2006,27829874
Soul Man,Steve Miner,Balcor Film Investors,Comedy,1986,27820000
The Majestic,Frank Darabont,Castle Rock Entertainment,Drama,2001,27807266
The Other Sister,Garry Marshall,Mandeville Films,Comedy,1999,27797271
The Edge,Lee Tamahori,Art Linson Productions,Action,1997,27779888
The Switch,Josh Gordon,Mandate Pictures,Comedy,2010,27758465
Sinister 2,Ciarán Foy,Entertainment One,Horror,2015,27736779
Internal Affairs,Mike Figgis,Paramount Pictures,Crime,1990,27734391
Oculus,Mike Flanagan,Relativity Media,Horror,2013,27695246
Hannibal Rising,Peter Webber,Young Hannibal Productions,Crime,2007,27670986
El juego del miedo VI,Kevin Greutert,Twisted Pictures,Horror,2009,27669413
The Island of Dr. Moreau,John Frankenheimer,New Line Cinema,Horror,1996,27663982
Cadillac Man,Roger Donaldson,Orion Pictures,Comedy,1990,27627310
The Finest Hours,Craig Gillespie,Walt Disney Pictures,Action,2016,27550735
Do the Right Thing,Spike Lee,40 Acres & A Mule Filmworks,Comedy,1989,27545445
Poetic Justice,John Singleton,Columbia Pictures Corporation,Drama,1993,27515786
My Life,Bruce Joel Rubin,Capella Films,Drama,1993,27484464
Friday,F. Gary Gray,New Line Cinema,Comedy,1995,27467564
The Brothers,Gary Hardwick,Screen Gems,Comedy,2001,27457409
Memphis Belle,Michael Caton-Jones,Enigma Productions,Action,1990,27441977
Love & Basketball,Gina Prince-Bythewood,40 Acres & A Mule Filmworks,Drama,2000,27441122
Now and Then,Lesli Linka Glatter,New Line Cinema,Comedy,1995,27400000
Florence Foster Jenkins,Stephen Frears,Qwerty Films,Biography,2016,27370107
The Last Witch Hunter,Breck Eisner,Summit Entertainment,Action,2015,27367660
Brown Sugar,Rick Famuyiwa,Fox Searchlight Pictures,Romance,2002,27362712
Someone Like You...,Tony Goldwyn,Fox 2000 Pictures,Comedy,2001,27338033
Dallas Buyers Club,Jean-Marc Vallée,Truth Entertainment (II),Biography,2013,27298285
No Escape,John Erick Dowdle,Bold Films,Action,2015,27285953
The Muppet Christmas Carol,Brian Henson,Walt Disney Pictures,Comedy,1992,27281507
High Fidelity,Stephen Frears,Touchstone Pictures,Comedy,2000,27277055
Brooklyn's Finest,Antoine Fuqua,Millennium Films,Crime,2009,27154426
Baby Geniuses,Bob Clark,Crystal Sky Worldwide,Comedy,1999,27141959
Cloud Atlas,Tom Tykwer,Cloud Atlas Productions,Action,2012,27108272
All Dogs Go to Heaven,Don Bluth,Goldcrest Films International,Animation,1989,27100027
Joe Dirt,Dennie Gordon,Columbia Pictures Corporation,Adventure,2001,27087695
The Story of Us,Rob Reiner,Castle Rock Entertainment,Comedy,1999,27067160
El mosquetero,Peter Hyams,MDP Worldwide,Action,2001,27053815
Guarding Tess,Hugh Wilson,Channel Films,Comedy,1994,27053498
The Big Hit,Kirk Wong,TriStar Pictures,Action,1998,27052167
Paulie,John Roberts,DreamWorks,Adventure,1998,27008669
Rush,Ron Howard,Exclusive Media Group,Action,2013,26947624
Spy Hard,Rick Friedberg,Hollywood Pictures,Comedy,1996,26906039
The Women,Diane English,Picturehouse,Comedy,2008,26902075
The Missing,Ron Howard,Revolution Studios,Adventure,2003,26900336
One Missed Call,Eric Valette,Alcon Entertainment,Horror,2008,26876529
xXx: State of the Union,Lee Tamahori,Columbia Pictures Corporation,Action,2005,26873932
Pisando firme,Jessica Bendinger,Kaltenbach Pictures,Comedy,2006,26870825
Hell or High Water,David Mackenzie,Film 44,Crime,2016,26862450
Elizabethtown,Cameron Crowe,Paramount Pictures,Comedy,2005,26838389
Resident Evil: The Final Chapter,Paul W.S. Anderson,Constantin Film,Action,2016,26830068
Glory,Edward Zwick,TriStar Pictures,Biography,1989,26830000
Ricki and the Flash,Jonathan Demme,Clinica Estetico,Comedy,2015,26822144
The Other Boleyn Girl,Justin Chadwick,Columbia Pictures,Biography,2008,26814957
Eye for an Eye,John Schlesinger,Paramount Pictures,Crime,1996,26792700
Garden State,Zach Braff,Camelot Pictures,Comedy,2004,26782316
The Best of Me,Michael Hoffman,DiNovi Pictures,Drama,2014,26761283
Bio-Dome,Jason Bloom,Motion Picture Corporation of America (MPCA),Comedy,1996,26757000
Overboard,Garry Marshall,Hawn / Sylbert Movie Company,Comedy,1987,26713187
Baby Boom,Charles Shyer,United Artists,Comedy,1987,26712476
Winnie the Pooh,Stephen J. Anderson,Walt Disney Pictures,Animation,2011,26692846
Event Horizon,Paul W.S. Anderson,Golar Productions,Horror,1997,26673242
The Host,Andrew Niccol,Chockstone Pictures,Action,2013,26627201
Machete,Ethan Maniquis,Overnight Films,Action,2010,26593646
The Forest,Jason Zada,Gramercy Pictures (I),Horror,2016,26583369
An American Werewolf in Paris,Anthony Waller,Hollywood Pictures,Comedy,1997,26570463
Harriet the Spy,Bronwen Hughes,Nickelodeon Movies,Comedy,1996,26539321
Básico y letal,John McTiernan,Phoenix Pictures,Action,2003,26536120
Bulworth,Warren Beatty,Twentieth Century Fox Film Corporation,Comedy,1998,26525834
The Woman in Black 2: Angel of Death,Tom Harper,Alliance Films,Drama,2014,26496583
Blast from the Past,Hugh Wilson,Forge,Comedy,1999,26494611
Sinbad: Legend of the Seven Seas,Patrick Gilmore,DreamWorks,Animation,2003,26483452
First Kid,David Mickey Evans,Caravan Pictures,Family,1996,26459681
Run All Night,Jaume Collet-Serra,Warner Bros.,Action,2015,26442251
Book of Shadows: Blair Witch 2,Joe Berlinger,Artisan Entertainment,Adventure,2000,26437094
Street Kings,David Ayer,Fox Searchlight Pictures,Action,2008,26415649
One for the Money,Julie Anne Robinson,Lakeshore Entertainment,Action,2012,26414527
Boogie Nights,Paul Thomas Anderson,New Line Cinema,Drama,1997,26400640
House Party,Reginald Hudlin,Hudlin Brothers  The,Comedy,1990,26386000
Ben-Hur,Timur Bekmambetov,LightWorkers Media,Action,2016,26384681
I.Q.,Fred Schepisi,Paramount Pictures,Comedy,1994,26372663
Great Expectations,Alfonso Cuarón,Art Linson Productions,Drama,1998,26333044
Houseguest,Randall Miller,Hollywood Pictures,Comedy,1995,26325256
A Walk Among the Tombstones,Scott Frank,1984 Private Defense Contractors,Crime,2014,26307600
Wildcats,Michael Ritchie,Hawn / Sylbert Movie Company,Comedy,1986,26285544
Love the Coopers,Jessie Nelson,CBS Films,Comedy,2015,26284475
Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,New Line Cinema,Comedy,2003,26276465
Necessary Roughness,Stan Dragoti,Paramount Pictures,Comedy,1991,26255594
The Wrestler,Darren Aronofsky,Wild Bunch,Drama,2008,26236603
Blood Work,Clint Eastwood,Malpaso Productions,Action,2002,26199517
A Man Apart,F. Gary Gray,"""DIA"" Productions GmbH & Co. KG",Action,2003,26183197
Ramona and Beezus,Elizabeth Allen Rosenbaum,Fox 2000 Pictures,Adventure,2010,26161406
Jacob's Ladder,Adrian Lyne,Carolco Pictures,Drama,1990,26118851
The Exorcist III,William Peter Blatty,Morgan Creek Productions,Drama,1990,26098824
That Awkward Moment,Tom Gormican,Treehouse Pictures,Comedy,2014,26049082
The Descent,Neil Marshall,Celador Films,Adventure,2005,26024456
